model,seed,fold,target,best_params
Mean,42,0,glass_adhesion_kpa,{}
Ridge,42,0,glass_adhesion_kpa,{'alpha': np.float64(0.018794668241638456)}
ElasticNet,42,0,glass_adhesion_kpa,"{'alpha': np.float64(0.0074593432857265485), 'l1_ratio': np.float64(0.9056428757689247)}"
KNN,42,0,glass_adhesion_kpa,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
SVR-RBF,42,0,glass_adhesion_kpa,"{'C': np.float64(555.1721685244722), 'epsilon': np.float64(0.39625281322982375), 'gamma': np.float64(0.17123375973163968)}"
RandomForest,42,0,glass_adhesion_kpa,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 591}"
HistGB,42,0,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.0024763373012441064), 'learning_rate': np.float64(0.051909639713710286), 'max_iter': 383, 'max_leaf_nodes': 51, 'min_samples_leaf': 26}"
MLP,42,0,glass_adhesion_kpa,"{'alpha': np.float64(0.0006403036652671174), 'hidden_layer_sizes': (128, 64), 'learning_rate_init': np.float64(0.0011103647313054626)}"
Mean,42,1,glass_adhesion_kpa,{}
Ridge,42,1,glass_adhesion_kpa,{'alpha': np.float64(0.5450293694558254)}
ElasticNet,42,1,glass_adhesion_kpa,"{'alpha': np.float64(0.0033347927286375843), 'l1_ratio': np.float64(0.1379049026057455)}"
KNN,42,1,glass_adhesion_kpa,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
SVR-RBF,42,1,glass_adhesion_kpa,"{'C': np.float64(859.8737339212263), 'epsilon': np.float64(0.318897907718663), 'gamma': np.float64(0.0006235377135673159)}"
RandomForest,42,1,glass_adhesion_kpa,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 2, 'n_estimators': 587}"
HistGB,42,1,glass_adhesion_kpa,"{'l2_regularization': np.float64(3.9392386266336232), 'learning_rate': np.float64(0.024850390460806646), 'max_iter': 495, 'max_leaf_nodes': 60, 'min_samples_leaf': 4}"
MLP,42,1,glass_adhesion_kpa,"{'alpha': np.float64(0.013921548533046514), 'hidden_layer_sizes': (128,), 'learning_rate_init': np.float64(0.008521393381383607)}"
Mean,42,2,glass_adhesion_kpa,{}
Ridge,42,2,glass_adhesion_kpa,{'alpha': np.float64(0.1767016940294795)}
ElasticNet,42,2,glass_adhesion_kpa,"{'alpha': np.float64(0.0033205591037519565), 'l1_ratio': np.float64(0.522280788469014)}"
KNN,42,2,glass_adhesion_kpa,"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}"
SVR-RBF,42,2,glass_adhesion_kpa,"{'C': np.float64(859.8737339212263), 'epsilon': np.float64(0.318897907718663), 'gamma': np.float64(0.0006235377135673159)}"
RandomForest,42,2,glass_adhesion_kpa,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 578}"
HistGB,42,2,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.0004185822729546974), 'learning_rate': np.float64(0.22648248189516848), 'max_iter': 256, 'max_leaf_nodes': 15, 'min_samples_leaf': 23}"
MLP,42,2,glass_adhesion_kpa,"{'alpha': np.float64(1.1649969967638911e-06), 'hidden_layer_sizes': (64,), 'learning_rate_init': np.float64(0.00853618986286683)}"
Mean,42,3,glass_adhesion_kpa,{}
Ridge,42,3,glass_adhesion_kpa,{'alpha': np.float64(0.055895242052179224)}
ElasticNet,42,3,glass_adhesion_kpa,"{'alpha': np.float64(0.0004075596440072873), 'l1_ratio': np.float64(0.49565921910014316)}"
KNN,42,3,glass_adhesion_kpa,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}"
SVR-RBF,42,3,glass_adhesion_kpa,"{'C': np.float64(859.8737339212263), 'epsilon': np.float64(0.318897907718663), 'gamma': np.float64(0.0006235377135673159)}"
RandomForest,42,3,glass_adhesion_kpa,"{'max_depth': 16, 'max_features': 0.6, 'min_samples_leaf': 4, 'n_estimators': 530}"
HistGB,42,3,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.46398861359008925), 'learning_rate': np.float64(0.007306138957424438), 'max_iter': 638, 'max_leaf_nodes': 40, 'min_samples_leaf': 20}"
MLP,42,3,glass_adhesion_kpa,"{'alpha': np.float64(0.013921548533046514), 'hidden_layer_sizes': (128,), 'learning_rate_init': np.float64(0.008521393381383607)}"
Mean,42,4,glass_adhesion_kpa,{}
Ridge,42,4,glass_adhesion_kpa,{'alpha': np.float64(0.3905441275210791)}
ElasticNet,42,4,glass_adhesion_kpa,"{'alpha': np.float64(0.003618723330959626), 'l1_ratio': np.float64(0.5180612190600298)}"
KNN,42,4,glass_adhesion_kpa,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
SVR-RBF,42,4,glass_adhesion_kpa,"{'C': np.float64(859.8737339212263), 'epsilon': np.float64(0.318897907718663), 'gamma': np.float64(0.0006235377135673159)}"
RandomForest,42,4,glass_adhesion_kpa,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 578}"
HistGB,42,4,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.0024763373012441064), 'learning_rate': np.float64(0.051909639713710286), 'max_iter': 383, 'max_leaf_nodes': 51, 'min_samples_leaf': 26}"
MLP,42,4,glass_adhesion_kpa,"{'alpha': np.float64(1.4271483774997195e-05), 'hidden_layer_sizes': (256, 128), 'learning_rate_init': np.float64(0.0007591104805282694)}"
Mean,2024,0,glass_adhesion_kpa,{}
Ridge,2024,0,glass_adhesion_kpa,{'alpha': np.float64(0.19780887996026128)}
ElasticNet,2024,0,glass_adhesion_kpa,"{'alpha': np.float64(0.0029347976556799537), 'l1_ratio': np.float64(0.6594075955893305)}"
KNN,2024,0,glass_adhesion_kpa,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}"
SVR-RBF,2024,0,glass_adhesion_kpa,"{'C': np.float64(230.9634272865441), 'epsilon': np.float64(0.24726254617002064), 'gamma': np.float64(0.06009682324617861)}"
RandomForest,2024,0,glass_adhesion_kpa,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 840}"
HistGB,2024,0,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.014193665235772824), 'learning_rate': np.float64(0.052588167581120615), 'max_iter': 365, 'max_leaf_nodes': 33, 'min_samples_leaf': 21}"
MLP,2024,0,glass_adhesion_kpa,"{'alpha': np.float64(0.005027369033082317), 'hidden_layer_sizes': (64,), 'learning_rate_init': np.float64(0.005848943222502433)}"
Mean,2024,1,glass_adhesion_kpa,{}
Ridge,2024,1,glass_adhesion_kpa,{'alpha': np.float64(0.013455869304969966)}
ElasticNet,2024,1,glass_adhesion_kpa,"{'alpha': np.float64(0.000658167529601583), 'l1_ratio': np.float64(0.9497671760177564)}"
KNN,2024,1,glass_adhesion_kpa,"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}"
SVR-RBF,2024,1,glass_adhesion_kpa,"{'C': np.float64(230.9634272865441), 'epsilon': np.float64(0.24726254617002064), 'gamma': np.float64(0.06009682324617861)}"
RandomForest,2024,1,glass_adhesion_kpa,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 840}"
HistGB,2024,1,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.014193665235772824), 'learning_rate': np.float64(0.052588167581120615), 'max_iter': 365, 'max_leaf_nodes': 33, 'min_samples_leaf': 21}"
MLP,2024,1,glass_adhesion_kpa,"{'alpha': np.float64(0.00031485669426501193), 'hidden_layer_sizes': (64,), 'learning_rate_init': np.float64(0.0034687578982979263)}"
Mean,2024,2,glass_adhesion_kpa,{}
Ridge,2024,2,glass_adhesion_kpa,{'alpha': np.float64(1.8374824103200829)}
ElasticNet,2024,2,glass_adhesion_kpa,"{'alpha': np.float64(0.04360406038760394), 'l1_ratio': np.float64(0.8810153481830166)}"
KNN,2024,2,glass_adhesion_kpa,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
SVR-RBF,2024,2,glass_adhesion_kpa,"{'C': np.float64(175.48241290432475), 'epsilon': np.float64(0.3046267605237099), 'gamma': np.float64(0.009965299258583972)}"
RandomForest,2024,2,glass_adhesion_kpa,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 2, 'n_estimators': 695}"
HistGB,2024,2,glass_adhesion_kpa,"{'l2_regularization': np.float64(3.596859183929653), 'learning_rate': np.float64(0.011136170871093153), 'max_iter': 767, 'max_leaf_nodes': 28, 'min_samples_leaf': 24}"
MLP,2024,2,glass_adhesion_kpa,"{'alpha': np.float64(0.00031485669426501193), 'hidden_layer_sizes': (64,), 'learning_rate_init': np.float64(0.0034687578982979263)}"
Mean,2024,3,glass_adhesion_kpa,{}
Ridge,2024,3,glass_adhesion_kpa,{'alpha': np.float64(0.0013020920498052978)}
ElasticNet,2024,3,glass_adhesion_kpa,"{'alpha': np.float64(0.00012460479050773574), 'l1_ratio': np.float64(0.7273385034877214)}"
KNN,2024,3,glass_adhesion_kpa,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
SVR-RBF,2024,3,glass_adhesion_kpa,"{'C': np.float64(230.9634272865441), 'epsilon': np.float64(0.24726254617002064), 'gamma': np.float64(0.06009682324617861)}"
RandomForest,2024,3,glass_adhesion_kpa,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 840}"
HistGB,2024,3,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.007370189943801216), 'learning_rate': np.float64(0.020308865030168037), 'max_iter': 402, 'max_leaf_nodes': 21, 'min_samples_leaf': 5}"
MLP,2024,3,glass_adhesion_kpa,"{'alpha': np.float64(0.026891100973517976), 'hidden_layer_sizes': (96, 96, 48), 'learning_rate_init': np.float64(0.000493864649416736)}"
Mean,2024,4,glass_adhesion_kpa,{}
Ridge,2024,4,glass_adhesion_kpa,{'alpha': np.float64(0.6967455769894335)}
ElasticNet,2024,4,glass_adhesion_kpa,"{'alpha': np.float64(0.0054202566599436735), 'l1_ratio': np.float64(0.3315903434097426)}"
KNN,2024,4,glass_adhesion_kpa,"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}"
SVR-RBF,2024,4,glass_adhesion_kpa,"{'C': np.float64(175.48241290432475), 'epsilon': np.float64(0.3046267605237099), 'gamma': np.float64(0.009965299258583972)}"
RandomForest,2024,4,glass_adhesion_kpa,"{'max_depth': 16, 'max_features': 0.3, 'min_samples_leaf': 3, 'n_estimators': 223}"
HistGB,2024,4,glass_adhesion_kpa,"{'l2_regularization': np.float64(1.3465291051989707), 'learning_rate': np.float64(0.009892038363737789), 'max_iter': 687, 'max_leaf_nodes': 44, 'min_samples_leaf': 22}"
MLP,2024,4,glass_adhesion_kpa,"{'alpha': np.float64(0.0023246020159967697), 'hidden_layer_sizes': (128, 64), 'learning_rate_init': np.float64(0.0013934448236455719)}"
Mean,7,0,glass_adhesion_kpa,{}
Ridge,7,0,glass_adhesion_kpa,{'alpha': np.float64(0.19303977330548744)}
ElasticNet,7,0,glass_adhesion_kpa,"{'alpha': np.float64(0.011613393605749771), 'l1_ratio': np.float64(0.8657809422479049)}"
KNN,7,0,glass_adhesion_kpa,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}"
SVR-RBF,7,0,glass_adhesion_kpa,"{'C': np.float64(563.1803612766821), 'epsilon': np.float64(0.10212115160838592), 'gamma': np.float64(0.01563002515391279)}"
RandomForest,7,0,glass_adhesion_kpa,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 1, 'n_estimators': 490}"
HistGB,7,0,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.10829913599163539), 'learning_rate': np.float64(0.12417165236163052), 'max_iter': 416, 'max_leaf_nodes': 60, 'min_samples_leaf': 30}"
MLP,7,0,glass_adhesion_kpa,"{'alpha': np.float64(0.01804982233305925), 'hidden_layer_sizes': (128,), 'learning_rate_init': np.float64(0.0012502009899977204)}"
Mean,7,1,glass_adhesion_kpa,{}
Ridge,7,1,glass_adhesion_kpa,{'alpha': np.float64(1.0156002098994572)}
ElasticNet,7,1,glass_adhesion_kpa,"{'alpha': np.float64(0.01974535241630056), 'l1_ratio': np.float64(0.6973917102581374)}"
KNN,7,1,glass_adhesion_kpa,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}"
SVR-RBF,7,1,glass_adhesion_kpa,"{'C': np.float64(563.1803612766821), 'epsilon': np.float64(0.10212115160838592), 'gamma': np.float64(0.01563002515391279)}"
RandomForest,7,1,glass_adhesion_kpa,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 600}"
HistGB,7,1,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.10829913599163539), 'learning_rate': np.float64(0.12417165236163052), 'max_iter': 416, 'max_leaf_nodes': 60, 'min_samples_leaf': 30}"
MLP,7,1,glass_adhesion_kpa,"{'alpha': np.float64(0.00020097937013251223), 'hidden_layer_sizes': (256, 128), 'learning_rate_init': np.float64(0.0009904629239439677)}"
Mean,7,2,glass_adhesion_kpa,{}
Ridge,7,2,glass_adhesion_kpa,{'alpha': np.float64(0.15679864837306304)}
ElasticNet,7,2,glass_adhesion_kpa,"{'alpha': np.float64(0.0014174716941154197), 'l1_ratio': np.float64(0.5436409273124274)}"
KNN,7,2,glass_adhesion_kpa,"{'n_neighbors': 13, 'p': 2, 'weights': 'distance'}"
SVR-RBF,7,2,glass_adhesion_kpa,"{'C': np.float64(563.1803612766821), 'epsilon': np.float64(0.10212115160838592), 'gamma': np.float64(0.01563002515391279)}"
RandomForest,7,2,glass_adhesion_kpa,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 600}"
HistGB,7,2,glass_adhesion_kpa,"{'l2_regularization': np.float64(2.7160867198454225e-05), 'learning_rate': np.float64(0.016431855796202644), 'max_iter': 754, 'max_leaf_nodes': 15, 'min_samples_leaf': 26}"
MLP,7,2,glass_adhesion_kpa,"{'alpha': np.float64(0.0522259108684459), 'hidden_layer_sizes': (96, 96, 48), 'learning_rate_init': np.float64(0.0028597137681187854)}"
Mean,7,3,glass_adhesion_kpa,{}
Ridge,7,3,glass_adhesion_kpa,{'alpha': np.float64(47.809340557770746)}
ElasticNet,7,3,glass_adhesion_kpa,"{'alpha': np.float64(0.5119599681990566), 'l1_ratio': np.float64(0.487242705838007)}"
KNN,7,3,glass_adhesion_kpa,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}"
SVR-RBF,7,3,glass_adhesion_kpa,"{'C': np.float64(351.27065815540846), 'epsilon': np.float64(0.06326777830370006), 'gamma': np.float64(0.01240652979012466)}"
RandomForest,7,3,glass_adhesion_kpa,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 1, 'n_estimators': 490}"
HistGB,7,3,glass_adhesion_kpa,"{'l2_regularization': np.float64(0.0009664402495119866), 'learning_rate': np.float64(0.03727656246422985), 'max_iter': 729, 'max_leaf_nodes': 19, 'min_samples_leaf': 19}"
MLP,7,3,glass_adhesion_kpa,"{'alpha': np.float64(0.004823611529356869), 'hidden_layer_sizes': (96, 96, 48), 'learning_rate_init': np.float64(0.002321815513975902)}"
Mean,7,4,glass_adhesion_kpa,{}
Ridge,7,4,glass_adhesion_kpa,{'alpha': np.float64(0.6404970863644245)}
ElasticNet,7,4,glass_adhesion_kpa,"{'alpha': np.float64(0.015561310098067912), 'l1_ratio': np.float64(0.7011186600478472)}"
KNN,7,4,glass_adhesion_kpa,"{'n_neighbors': 13, 'p': 2, 'weights': 'distance'}"
SVR-RBF,7,4,glass_adhesion_kpa,"{'C': np.float64(563.1803612766821), 'epsilon': np.float64(0.10212115160838592), 'gamma': np.float64(0.01563002515391279)}"
