tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
external_single,Mean,42,0,glass_adhesion_kpa,25,-1.0764262676239014,90.0834682391836,71.4624252319336,1.4409810304641724,,,0.0
external_single,Ridge,42,0,glass_adhesion_kpa,25,0.6452224850654602,37.236160062645254,26.678447723388672,0.5956320762634277,0.8365544080734253,0.8753846153846153,0.8364478571254621
external_single,ElasticNet,42,0,glass_adhesion_kpa,25,0.6421526074409485,37.3969139743467,26.881641387939453,0.5982034802436829,0.8346124887466431,0.8761538461538461,0.834647961458242
external_single,KNN,42,0,glass_adhesion_kpa,25,0.4086716347910725,48.072997073063156,39.812788454290214,0.7689788341522217,0.8617163322148372,0.8038461538461538,0.8172462662145468
external_single,SVR-RBF,42,0,glass_adhesion_kpa,25,0.3150135801267756,51.74016668235431,47.71918247333951,0.827639102935791,0.8482167753987426,0.8123076923076924,0.813055289743475
external_single,RandomForest,42,0,glass_adhesion_kpa,25,0.5150456959066576,43.5348699848906,36.9451252899329,0.6963866353034973,0.8748696523597743,0.8192307692307693,0.8391700590321118
external_single,HistGB,42,0,glass_adhesion_kpa,25,0.5873476587177655,40.15864025653556,32.434024262387695,0.6423802375793457,0.8441459323523152,0.823778437275833,0.8490946612464213
external_single,MLP,42,0,glass_adhesion_kpa,25,0.5527632832527161,41.80763296131611,31.177284240722656,0.6687576174736023,0.7932586073875427,0.7761538461538461,0.7812264837430282
external_single,Mean,42,1,glass_adhesion_kpa,25,-1.1342082023620605,91.3282733638658,72.49327087402344,1.4608930349349976,0.0,0.0,0.0
external_single,Ridge,42,1,glass_adhesion_kpa,25,0.631964921951294,37.92551068016834,28.182207107543945,0.606658935546875,0.8189224004745483,0.8707692307692307,0.8110738128310354
external_single,ElasticNet,42,1,glass_adhesion_kpa,25,0.6302598714828491,38.01325998346251,28.328628540039062,0.6080625653266907,0.8172890543937683,0.8707692307692307,0.8101531874965264
external_single,KNN,42,1,glass_adhesion_kpa,25,0.3773997797156101,49.32776946738743,40.45551630349207,0.7890502214431763,0.8202051428741064,0.7907692307692307,0.7871994495623743
external_single,SVR-RBF,42,1,glass_adhesion_kpa,25,0.5828734391647368,40.375765101081456,33.41100923460386,0.6458534002304077,0.7661195064880316,0.7469230769230769,0.7524300690001372
external_single,RandomForest,42,1,glass_adhesion_kpa,25,0.5494996827029106,41.95989505463494,31.476672822031404,0.6711932420730591,0.8296962292150836,0.8123076923076924,0.8158194766660946
